OriginCity;FinalCity;Distance
Arad;Zerind;75
Arad;Sibiu;140
Arad;Timisoara;118
Zerind;Oradea;71
Zerind;Arad;75
Oradea;Zerind;71
Oradea;Sibiu;151
Sibiu;Oradea;151
Sibiu;Arad;140
Sibiu;Fagaras;99
Subiu;RimnicuVilcea;80
Timisoara;Arad;118
Timisoara;Lugoj;111
Lugoj;Timisoara;111
Lugoj;Mehadia;70
Mehadia;Lugoj;70
Mehadia;Dobreta;75
Dobreta;Mehadia;75
Dobreta;Craiova;120
Craiova;Dobreta;120
Craiova;RimnicuVilcea;146
Craiova;Pitesti;138
RimnicuVilcea;Craiova;146
RimnicuVilcea;Pitesti;97
RimnicuVilcea;Sibiu;80
Pitesti;RimnicuVilcea;97
Pitesti;Craiova;138
Pitesti;Bucharest;101
Fagaras;Sibiu;99
Fagaras;Bucharest;211
Bucharest;Giurgiu;90
Bucharest;Pitesti;101
Bucharest;Fagaras;211
Bucharest;Urziceni;85
Giurgiu;Bucharest;90
Urziceni;Bucharest;85
Urziceni;Hirsova;98
Urziceni;Vaslui;142
Hirsova;Urziceni;98
Hirsova;Efoire;86
Efoire;Hirsova;86
Vaslui;Urziceni;142
Vaslui;Iasi;92
Iasi;Vaslui;92
Iasi;Neamt;87
Neamt;Iasi;87
